decil,n,custo_real_medio,premio_pred_medio,custo_total,lift,loss_ratio_relativo
1,135,3084.3800048828125,3749.032760842029,416391.3006591797,0.2324251590895846,0.8227135375018872
2,133,4726.235469961525,4653.404527601228,628589.3175048828,0.3561480846269399,1.0156511091886182
3,134,5771.69457461229,5803.690876082302,773407.0729980469,0.4349292329729398,0.9944869046003342
4,133,6936.010571472627,7087.469639013999,922489.4060058594,0.5226669080883294,0.9786300223837795
5,134,8696.497660622668,8546.12330226923,1165330.6865234375,0.6553293851900782,1.0175956223699123
6,134,11162.952305124767,10063.765366496711,1495835.6088867188,0.8411904374041765,1.1092222342829414
7,133,12541.401102854794,11823.490860158125,1668006.3466796875,0.9450642080167638,1.0607189747247852
8,134,15459.186086170708,14436.28362189608,2071530.935546875,1.1649355072285381,1.0708563568758895
9,134,27886.282867887126,23827.191890658945,3736761.904296875,2.1013862499838374,1.1703554072110143
10,134,36399.12242012593,48930.90600408963,4877482.404296875,2.7428759769633078,0.7438881760555119
